,trial,run,judgment,num_cols
113,4,23,2,4
114,4,24,2,9
115,4,25,2,4
116,4,26,2,3
117,4,27,2,5
118,4,28,2,7
119,4,29,2,4
120,5,0,1,18
121,5,1,1,34
122,5,2,1,11
123,5,3,1,8
124,5,4,1,6
125,5,5,1,90
126,5,6,1,13
127,5,7,1,19
128,5,8,1,7
129,5,9,1,6
130,5,10,1,15
131,5,11,1,8
132,5,12,1,13
133,5,13,1,10
134,5,14,1,16
135,5,15,1,21
136,5,16,1,8
137,5,17,1,9
138,5,18,1,8
139,5,19,1,8
140,5,20,1,6
141,5,21,1,110
142,5,22,1,6
143,5,23,1,6
144,5,24,1,166
145,5,25,1,23
146,5,26,1,12
147,5,27,1,13
148,5,28,1,13
149,5,29,1,214
150,6,0,0,283
151,6,1,0,289
152,6,2,0,285
153,6,3,0,286
154,6,4,0,289
155,6,5,0,113
156,6,6,0,121
157,6,7,0,284
158,6,8,0,285
159,6,9,0,33
160,6,10,0,281
161,6,11,0,29
162,6,12,1,8
163,6,13,0,287
164,6,14,0,285
165,6,15,0,286
166,6,16,0,279
167,6,17,0,282
168,6,18,0,288
169,6,19,0,286
170,6,20,0,12
171,6,21,0,279
172,6,22,0,29
173,6,23,1,8
174,6,24,0,277
175,6,25,0,288
176,6,26,0,281
177,6,27,0,284
178,6,28,0,288
179,6,29,0,277
180,7,0,2,11
181,7,1,2,12
182,7,2,2,12
183,7,3,2,12
184,7,4,2,15
185,7,5,2,12
186,7,6,2,12
187,7,7,2,12
188,7,8,2,41
189,7,9,2,12
190,7,10,2,9
191,7,11,2,12
192,7,12,2,11
193,7,13,2,18
194,7,14,2,12
195,7,15,2,18
196,7,16,2,9
197,7,17,2,12
198,7,18,2,12
199,7,19,2,12
200,7,20,2,27
201,7,21,2,23
202,7,22,2,15
203,7,23,2,12
204,7,24,2,9
205,7,25,2,12
206,7,26,2,12
207,7,27,2,12
208,7,28,2,12
209,7,29,2,12
210,8,0,0,9
211,8,1,0,7
212,8,2,0,7
213,8,3,0,11
214,8,4,0,7
215,8,5,0,7
216,8,6,0,9
217,8,7,0,7
218,8,8,0,9
219,8,9,0,7
220,8,10,0,11
221,8,11,0,7
222,8,12,0,9
223,8,13,0,7
224,8,14,0,9
225,8,15,0,7
226,8,16,0,11
227,8,17,0,7
228,8,18,0,11
229,8,19,0,7
230,8,20,0,7
231,8,21,0,9
232,8,22,0,9
233,8,23,0,7
234,8,24,0,9
235,8,25,0,7
236,8,26,0,7
237,8,27,0,7
238,8,28,0,7
239,8,29,0,13
240,9,0,0,9
241,9,1,0,9
242,9,2,0,8
243,9,3,0,9
244,9,4,0,8
245,9,5,0,8
246,9,6,0,9
247,9,7,0,8
248,9,8,0,9
249,9,9,0,8
250,9,10,0,9
251,9,11,0,8
252,9,12,0,9
253,9,13,0,8
254,9,14,0,9
255,9,15,0,8
256,9,16,0,9
257,9,17,0,8
258,9,18,0,8
259,9,19,0,7
260,9,20,0,8
261,9,21,0,9
262,9,22,0,9
263,9,23,0,8
264,9,24,0,9
265,9,25,0,9
266,9,26,0,8
267,9,27,0,9
268,9,28,0,9
269,9,29,0,9
270,10,0,1,100
271,10,1,1,100
272,10,2,1,100
273,10,3,1,100
274,10,4,1,100
275,10,5,1,100
276,10,6,2,133
277,10,7,1,100
278,10,8,1,100
279,10,9,1,100
280,10,10,2,199
281,10,11,1,100
282,10,12,1,100
283,10,13,1,100
284,10,14,1,100
285,10,15,1,100
286,10,16,1,100
287,10,17,1,100
288,10,18,1,100
289,10,19,2,199
290,10,20,1,100
291,10,21,1,100
292,10,22,1,100
293,10,23,1,100
294,10,24,1,100
295,10,25,1,100
296,10,26,1,100
297,10,27,2,21
298,10,28,1,100
299,10,29,2,199
300,11,0,2,10
301,11,1,2,10
302,11,2,2,10
303,11,3,2,10
304,11,4,2,15
305,11,5,2,15
306,11,6,2,14
307,11,7,2,15
308,11,8,2,15
309,11,9,2,10
310,11,10,2,10
311,11,11,2,10
312,11,12,2,10
313,11,13,2,13
314,11,14,2,10
315,11,15,2,15
316,11,16,2,13
317,11,17,2,10
318,11,18,2,15
319,11,19,2,13
320,11,20,2,9
321,11,21,2,10
322,11,22,2,10
323,11,23,2,15
324,11,24,2,10
325,11,25,2,10
326,11,26,2,15
327,11,27,2,10
328,11,28,2,10
329,11,29,2,14
330,12,0,0,254
331,12,1,0,43
332,12,2,0,14
333,12,3,0,16
334,12,4,0,23
335,12,5,0,260
336,12,6,0,9
337,12,7,0,30
338,12,8,0,257
339,12,9,0,259
340,12,10,0,252
341,12,11,0,14
342,12,12,0,17
343,12,13,0,254
344,12,14,0,250
345,12,15,0,254
346,12,16,0,14
347,12,17,0,21
348,12,18,0,25
349,12,19,0,263
350,12,20,0,12
351,12,21,0,256
352,12,22,0,258
353,12,23,0,18
354,12,24,0,20
355,12,25,0,250
356,12,26,0,257
357,12,27,0,9
358,12,28,0,258
359,12,29,0,261
360,13,0,0,314
361,13,1,1,13
362,13,2,1,10
363,13,3,0,317
364,13,4,1,7
365,13,5,1,11
366,13,6,1,14
367,13,7,1,14
