,trial,run,judgment,num_sims,num_looks
167,6,17,0,1,2
168,6,18,0,1,2
169,6,19,0,1,2
170,6,20,0,1,2
171,6,21,0,1,3
172,6,22,0,2,3
173,6,23,0,1,3
174,6,24,1,2,5
175,6,25,0,1,3
176,6,26,0,1,2
177,6,27,0,1,3
178,6,28,0,1,2
179,6,29,0,1,3
180,7,0,2,1,2
181,7,1,2,1,3
182,7,2,2,1,3
183,7,3,2,2,5
184,7,4,2,1,1
185,7,5,2,1,2
186,7,6,2,1,2
187,7,7,2,1,3
188,7,8,2,1,3
189,7,9,2,1,4
190,7,10,2,1,1
191,7,11,2,1,4
192,7,12,2,1,3
193,7,13,2,1,4
194,7,14,2,1,3
195,7,15,2,1,1
196,7,16,2,1,2
197,7,17,2,1,2
198,7,18,2,1,3
199,7,19,2,1,3
200,7,20,2,1,1
201,7,21,2,1,3
202,7,22,2,1,2
203,7,23,2,1,3
204,7,24,2,1,2
205,7,25,2,1,1
206,7,26,2,1,2
207,7,27,2,1,4
208,7,28,2,1,2
209,7,29,2,1,2
210,8,0,0,2,3
211,8,1,0,2,6
212,8,2,0,3,5
213,8,3,0,2,4
214,8,4,0,2,5
215,8,5,0,2,3
216,8,6,0,2,3
217,8,7,0,2,6
218,8,8,0,2,3
219,8,9,0,2,2
220,8,10,0,2,4
221,8,11,0,2,1
222,8,12,0,2,3
223,8,13,0,2,3
224,8,14,0,2,4
225,8,15,0,2,2
226,8,16,0,2,4
227,8,17,0,3,4
228,8,18,0,2,4
229,8,19,0,2,5
230,8,20,0,2,4
231,8,21,0,3,6
232,8,22,0,2,2
233,8,23,0,2,1
234,8,24,0,2,3
235,8,25,0,2,3
236,8,26,0,2,4
237,8,27,0,2,4
238,8,28,0,2,4
239,8,29,0,2,3
240,9,0,0,1,3
241,9,1,0,1,2
242,9,2,0,1,2
243,9,3,0,1,2
244,9,4,0,1,2
245,9,5,0,1,2
246,9,6,0,1,1
247,9,7,0,1,2
248,9,8,0,1,1
249,9,9,0,1,2
250,9,10,0,1,1
251,9,11,0,1,3
252,9,12,0,1,3
253,9,13,0,1,2
254,9,14,0,1,1
255,9,15,0,1,2
256,9,16,0,1,3
257,9,17,0,1,2
258,9,18,0,1,0
259,9,19,0,1,2
260,9,20,0,1,1
261,9,21,0,1,1
262,9,22,0,1,1
263,9,23,0,1,2
264,9,24,0,1,2
265,9,25,0,1,2
266,9,26,0,1,1
267,9,27,0,1,1
268,9,28,0,1,3
269,9,29,0,1,1
270,10,0,2,37,63
271,10,1,1,1,0
272,10,2,2,40,60
273,10,3,1,1,1
274,10,4,2,36,64
275,10,5,2,4,7
276,10,6,2,3,5
277,10,7,1,1,1
278,10,8,1,2,1
279,10,9,1,1,2
280,10,10,1,1,0
281,10,11,1,2,4
282,10,12,2,36,64
283,10,13,2,7,9
284,10,14,0,2,4
285,10,15,1,2,3
286,10,16,1,1,2
287,10,17,1,1,1
288,10,18,0,2,3
289,10,19,1,2,2
290,10,20,1,1,1
291,10,21,1,1,2
292,10,22,1,1,1
293,10,23,1,2,4
294,10,24,1,1,1
295,10,25,1,1,1
296,10,26,1,1,1
297,10,27,1,1,0
298,10,28,1,1,0
299,10,29,1,2,4
300,11,0,2,1,4
301,11,1,2,1,3
302,11,2,2,1,3
303,11,3,2,1,3
304,11,4,2,1,2
305,11,5,2,1,3
306,11,6,2,1,2
307,11,7,2,1,2
308,11,8,2,1,3
309,11,9,2,1,3
310,11,10,2,1,3
311,11,11,2,1,2
312,11,12,2,1,2
313,11,13,2,1,2
314,11,14,2,4,5
315,11,15,2,1,3
316,11,16,2,1,4
317,11,17,2,1,2
318,11,18,2,1,2
319,11,19,2,1,3
320,11,20,2,1,3
321,11,21,2,1,2
322,11,22,2,1,0
323,11,23,2,1,3
324,11,24,2,1,2
325,11,25,2,1,3
326,11,26,2,1,3
327,11,27,2,1,4
328,11,28,2,1,2
329,11,29,2,1,2
330,12,0,0,7,14
331,12,1,0,1,3
332,12,2,0,1,3
333,12,3,0,7,12
334,12,4,0,1,1
335,12,5,0,6,9
336,12,6,0,4,6
337,12,7,0,4,5
338,12,8,0,4,9
339,12,9,0,1,1
340,12,10,0,1,1
341,12,11,0,1,2
342,12,12,0,4,5
343,12,13,0,1,2
344,12,14,0,1,2
345,12,15,0,4,4
346,12,16,0,1,2
347,12,17,0,4,8
348,12,18,0,1,1
349,12,19,0,7,11
350,12,20,0,1,3
351,12,21,0,7,16
352,12,22,0,4,7
353,12,23,0,1,3
354,12,24,0,4,6
355,12,25,0,4,1
