,trial,hole1,hole2,hole3,num_cols
105,122,4.319583267241438e-14,4.319583267241438e-14,0.9999999999999136,148
106,123,0.42161917377494157,0.18038765916058552,0.3979931670644728,143
107,126,3.920065583545583e-14,3.920065583545583e-14,0.9999999999999216,148
108,127,0.24312097402043747,0.01787040697546657,0.739008619004096,161
109,129,0.7820286617437636,0.21797133825620985,2.6555185099017046e-14,120
110,132,0.9873550016780067,0.012644998321973749,1.953461758276293e-14,150
111,133,0.9999999999999599,2.0060045373587148e-14,2.0060045373587148e-14,107
112,139,0.5657479518271096,0.4342520481728782,1.2259730112423992e-14,115
113,140,1.2977568303111035e-14,0.6444064010529154,0.3555935989470717,80
114,142,1.959588120669514e-14,0.7461484318869549,0.2538515681130254,118
115,143,0.2850164148240674,0.32843120795701547,0.3865523772189171,152
116,144,0.9999999999999578,2.108092378497034e-14,2.108092378497034e-14,119
117,145,1.2503631260884035e-14,0.39072914341247317,0.6092708565875142,154
118,148,0.9999999999999588,2.0574397866571818e-14,2.0574397866571818e-14,112
119,149,1.9254920884408354e-14,0.9081042580315218,0.09189574196845897,159
120,154,2.0667626641979053e-14,2.0667626641979053e-14,0.9999999999999587,123
121,156,0.22945863060336377,0.3093281854912617,0.46121318390537464,107
122,158,1.9522821964552363e-14,1.9522821964552363e-14,0.9999999999999609,136
123,163,0.9999999999999422,2.894029604081998e-14,2.894029604081998e-14,126
124,166,3.037985285622954e-14,3.037985285622954e-14,0.9999999999999393,136
125,170,1.9693048510714883e-14,1.9693048510714883e-14,0.9999999999999606,149
126,173,3.687988794174738e-14,3.687988794174738e-14,0.9999999999999263,168
127,179,0.9342249370487964,0.0657750629511827,2.0974926636028234e-14,163
128,183,0.007822776239672173,0.029419931069203365,0.9627572926911245,120
129,186,0.9999999999999601,1.9905600318738416e-14,1.9905600318738416e-14,112
130,190,2.484572083539285e-14,0.02461925459082293,0.9753807454091522,167
131,192,0.9999999999999568,2.1620960768155355e-14,2.1620960768155355e-14,120
132,196,2.1848254288242396e-14,2.1848254288242396e-14,0.9999999999999563,119
133,207,0.9999999999999438,2.8099403616520093e-14,2.8099403616520093e-14,114
134,210,0.9953305782397149,0.004669421760261958,2.318934942495304e-14,127
135,214,0.9999999999999595,2.0235741318953564e-14,2.0235741318953564e-14,172
136,215,0.9999999999999598,2.0084702182490324e-14,2.0084702182490324e-14,136
137,223,0.9642902256323114,0.03570977436766523,2.3328807170990047e-14,155
138,254,0.999999999999956,2.19841586107327e-14,2.19841586107327e-14,132
139,283,0.9999999999999598,2.0069969234316042e-14,2.0069969234316042e-14,159
140,289,0.9999999999999607,1.9623651582181716e-14,1.9623651582181716e-14,103
141,297,0.9999999999999604,1.9830724682198676e-14,1.9830724682198676e-14,147
142,302,0.9999999999999531,2.3437454695656898e-14,2.3437454695656898e-14,163
143,306,2.668360468714361e-14,2.668360468714361e-14,0.9999999999999466,154
144,307,0.9999999999999608,1.9596945943616395e-14,1.9596945943616395e-14,138
145,316,2.1035151054718128e-14,2.1035151054718128e-14,0.9999999999999579,138
146,319,0.9999999999999504,2.4834325693658423e-14,2.4834325693658423e-14,125
147,326,0.9999999999999606,1.9706301871016864e-14,1.9706301871016864e-14,161
148,332,0.9891390375831743,0.010860962416803606,2.20229694516435e-14,174
149,380,2.307430443652132e-14,2.307430443652132e-14,0.9999999999999538,135
