,trial,hole1,hole2,hole3,num_cols
53,54,2.0894110507580033e-14,0.4637522988770413,0.536247701122938,307
54,55,2.2508320351796824e-14,0.4084210815385529,0.5915789184614245,302
55,56,0.0028209456912043312,0.7984539430014743,0.19872511130732143,312
56,57,0.006153535620815566,0.43746278127303123,0.5563836831061532,224
57,58,0.32365799581474647,0.3627351539276762,0.3136068502575773,204
58,59,0.37024931394721794,0.21401739591697086,0.4157332901358113,295
59,60,2.7097269629351162e-14,0.05370355019513465,0.9462964498048383,320
60,61,0.005218216671798221,0.0005126262483146084,0.9942691570798872,275
61,62,0.4924719664599407,0.005973115824461626,0.5015549177155978,322
62,63,0.4571964192274022,0.5428035807725783,1.9517340929994e-14,290
63,64,2.305063363167265e-14,0.6062212328396962,0.3937787671602807,324
64,65,0.9999999999999359,3.203518140213384e-14,3.203518140213384e-14,238
65,66,0.3529084568528237,0.6470915431471418,3.454415952024579e-14,295
66,67,0.5898452833473534,0.4101547166526297,1.6855545582178844e-14,234
67,68,0.007131758937142638,0.47913995224472267,0.5137282888181347,227
68,69,0.45059121369046895,0.5364214085971364,0.012987377712394698,250
69,70,0.9130634596369553,0.0036567959362591488,0.08327974442678537,314
70,71,0.10439778491035777,0.8169944937574961,0.07860772133214615,311
71,72,0.9999999999999428,2.858213579323172e-14,2.858213579323172e-14,286
72,73,0.005122503092238626,0.4552596087978479,0.5396178881099135,242
73,74,2.8525802747925806e-14,0.02417611844399698,0.9758238815559744,200
74,75,0.5209586287675388,0.47904137123244545,1.5733315351638392e-14,287
75,76,0.9999999999999328,3.356417488375074e-14,3.356417488375074e-14,213
76,77,1.841385909055544e-14,0.3696536324388053,0.6303463675611763,243
77,78,0.5059497334722884,0.48393246749697627,0.01011779903073528,205
78,79,2.009378559632752e-14,0.2933143522269325,0.7066856477730474,241
79,80,0.48299045000046303,0.5052493314649962,0.011760218534540838,239
80,81,3.117871816387297e-14,3.117871816387297e-14,0.9999999999999376,253
81,82,1.9105730339883213e-14,0.5421952065267329,0.45780479347324793,270
82,84,0.9999999999999352,3.244555159247586e-14,3.244555159247586e-14,241
83,85,0.5792864345292289,0.4207135654707546,1.6462909047879843e-14,267
84,86,3.3229616387797155e-14,3.3229616387797155e-14,0.9999999999999335,240
85,90,2.8444517999980636e-14,2.8444517999980636e-14,0.9999999999999432,309
86,91,2.1553523708176136e-14,0.6468242718707614,0.35317572812921694,315
87,93,0.01084347978408981,0.9891565202158817,2.8442776607937135e-14,332
88,94,0.3949153174404332,0.5881892483423162,0.016895434217250573,297
89,97,0.503802902272613,0.2902017159410874,0.20599538178629953,220
90,98,2.2681414070450557e-14,0.2570265363933421,0.7429734636066352,319
91,99,2.9399949029267746e-14,2.9399949029267746e-14,0.9999999999999412,247
92,100,0.001828070792189685,4.928937836830915e-14,0.998171929207761,274
93,102,0.9716867649490687,0.0067736397104936515,0.021539595340437798,206
94,103,0.9239507499922207,0.07604925000773892,4.03935680646227e-14,277
95,106,0.00021464556022601745,0.44245762374183495,0.5573277306979391,347
96,107,0.5094690133156828,0.3305620169487861,0.159968969735531,312
97,109,2.752492012289564e-14,0.10175047595428821,0.8982495240456844,302
98,111,0.9987915733171555,0.0012084266828157322,2.871772915953505e-14,276
99,112,2.1082546287643146e-14,0.24892378339920618,0.7510762166007727,312
100,113,0.5090278813234541,0.4909721186765209,2.5033298400530826e-14,333
101,114,0.9894582211176612,0.010541778882310148,2.864003135839012e-14,251
102,115,5.437687948484572e-14,5.437687948484572e-14,0.9999999999998912,219
103,118,3.3861734998700415e-14,3.3861734998700415e-14,0.9999999999999323,339
104,121,0.9999999999999439,2.8047311117421664e-14,2.8047311117421664e-14,216
105,122,4.973120397592039e-14,4.973120397592039e-14,0.9999999999999005,319
106,123,0.3772971767728638,0.2671862621845712,0.3555165610425651,282
107,126,5.077790312689004e-14,5.077790312689004e-14,0.9999999999998984,303
108,127,0.34606319955026155,0.07099455679359562,0.5829422436561429,320
109,129,0.6192221561310569,0.37526649335180917,0.005511350517133761,237
110,132,0.9142091599837997,0.0857908400161745,2.5695476561739657e-14,298
111,133,0.9439209790755934,0.0560790209243802,2.656070723026648e-14,215
112,139,0.5295400464990851,0.47045995350089953,1.5230786180259815e-14,236
113,140,0.007529444959746077,0.5877070734250515,0.4047634816152024,161
114,142,1.9554388399758947e-14,0.60047424901588,0.39952575098410054,236
115,143,0.33692101393859436,0.24715254361597322,0.4159264424454324,306
116,144,0.9999999999999412,2.942153364391046e-14,2.942153364391046e-14,241
117,145,1.6597947003687493e-14,0.44882444980576025,0.5511755501942232,311
118,148,0.9999999999999435,2.82480696268451e-14,2.82480696268451e-14,227
119,149,2.4867294440671772e-14,0.7491958671168791,0.250804132883096,321
120,154,2.8713299328318536e-14,2.8713299328318536e-14,0.9999999999999426,242
121,156,0.15562338451220234,0.3624543740521128,0.4819222414356849,229
122,158,2.858396603475194e-14,2.858396603475194e-14,0.9999999999999428,270
123,163,0.9999999999999368,3.161004690336722e-14,3.161004690336722e-14,270
124,166,4.0210235206295617e-14,4.0210235206295617e-14,0.9999999999999196,273
125,170,2.7948408476170755e-14,0.0005628277525424059,0.9994371722474296,303
126,173,5.039315766611353e-14,0.011119404821275821,0.9888805951786738,336
127,179,0.9692123704936508,0.030787629506320326,2.876981629801241e-14,331
128,183,2.7477461181294855e-14,0.03945034039307613,0.9605496596068963,240
129,186,0.9999999999999438,2.8106148100679013e-14,2.8106148100679013e-14,221
